"","STATION_KEY","SITE_NAME","b","m","Z"
"1","dfw_6041","Five Mile Cr",1.27230114787285,-0.206659113098062,0.295583694362642
"2","dfw_39983","Drift Cr.",0.997010793153066,-0.206659113098062,0.0179494951267522
"3","dfw_39965","Sutton Cr.",1.26588632635969,-0.206659113098062,0.284675482242864
"4","dfw_35004","Alsea River",1.04096591094661,-0.206659113098062,0.0819563235025798
"5","dfw_3285","West Olla Cr Trib A",1.26365201591607,-0.206659113098062,0.183894371804098
"6","dfw_2891","Flynn Cr.",1.26988855070128,-0.206659113098062,0.345357047246747
"7","dfw_2464","Pittenger Cr",1.18047071149999,-0.206659113098062,0.153307576030015
"8","CTSI_NA2","Little Rock Creek at mouth",0.762393261327412,-0.206659113098062,-0.19006524795138
"9","CTSI_28","Sam's Creek mouth",0.782644765916119,-0.206659113098062,-0.176187923020521
"10","37188","Big Elk Creek at RM 12.77",1.04469543642052,-0.206659113098062,0.0741915572284155
"11","37185","Morris Creek at RM 3.82",1.14637660165253,-0.206659113098062,0.143579189325677
"12","37179","Deer Creek at RM 2.41",1.22232830702084,-0.206659113098062,0.268418517610571
"13","37165","McLeod Creek at RM 2.1",1.02424600427653,-0.206659113098062,0.101788977815899
"14","34695","Fivemile Cr at Mouth",1.27300145298461,-0.206659113098062,0.304365234647071
"15","34672","Deer Cr at Mouth",0.626656249369556,-0.206659113098062,-0.288475169240301
"16","34665","Siuslaw R at RM 57.02",1.14195648063084,-0.206659113098062,0.202728619456927
"17","34660","Oliver Cr at RM 0.63",1.24094149191888,-0.206659113098062,0.266069447646195
"18","34659","Beaver Cr NF at RM 3.06",1.07900197431792,-0.206659113098062,0.108036219796052
"19","34645","Russell Cr at RM 0.20",1.11328693539039,-0.206659113098062,0.198053226646305
"20","34521","Needle Branch",1.11624230399034,-0.206659113098062,0.0860209634970853
"21","33363","Drift Cr",0.934121006429505,-0.206659113098062,-0.0329417295269224
"22","33361","Siletz R, S Fk",0.885906532120547,-0.206659113098062,-0.00715300581927747
"23","33333","Simpson Cr",1.16005610076978,-0.206659113098062,0.199351980891364
"24","33331","Jeans Cr",1.06048189720622,-0.206659113098062,0.15475134618251
"25","33329","Bear Cr",1.1265942800867,-0.206659113098062,0.252897574341608
"26","33327","Esmond Cr, Trib A",1.11695724163237,-0.206659113098062,0.272247491538375
"27","33325","Wolf Cr",1.04039641434461,-0.206659113098062,0.118321195285469
"28","33320","Indian Cr",1.12495228635706,-0.206659113098062,0.194399439526766
"29","30403","Siuslaw River",1.19150371794844,-0.206659113098062,0.244281414647741
"30","29906","Sweet Cr (Siuslaw)",1.12927434763043,-0.206659113098062,0.150392552359834
"31","26964","Siuslaw R",1.14936674287333,-0.206659113098062,0.228939974486843
"32","26822","Indian Cr",1.05018020342343,-0.206659113098062,0.145241666312581
"33","26818","Siletz River South Fork",1.0944687856679,-0.206659113098062,0.239898059767504
"34","26816","Siuslaw R",1.08910626296136,-0.206659113098062,0.152757118746226
"35","25297","Siuslaw River at RM 76.2",1.09324634994743,-0.206659113098062,0.163575911518586
"36","21792","Montgomery Cr",1.30523631282598,-0.206659113098062,0.337810752621251
