"","STATION_KEY","SVN","SY","SITE_NAME","PREDATOR_Nov05_model","PREDATOR_Nov05_score","PREDATOR_Nov05_Condition","Year_Sampled","Ref_Samples","NewSample","FSS_May05","FSS_May05_trans","AREAWTMAP","MAFLOWU_trans","SLOPE_trans","PRECIPSITE_MM_trans","STRMPOWER_trans","LONG_NHD_trans","LAT_NHD","ELEV_FT_trans","PCT_FSP3_trans","ERODRES_CAT","coords.x1","coords.x2","Use.303d","sample_status","biocriteria_status","biocriteria_status.OLD","FSS","Q75TH","fss_pred_trans","fss_pred","fss_pred_resids_trans","fss_pred_resids","Group","Q90TH","fss_resid_cond","sediment_resid_status","NEW_STATION","NEW_SAMPLE","NEW","ansysed"
"1","10588","08001BMP","10588 2008","Deer Creek at Mouth","MWCF",1.24,"Least disturbed",2008,0,"Yes",12,1.11394335230684,2293.433,0.823167636881773,0.173982757766395,3.36530074863799,0.0686258467353508,123.8774759,44.53558573,24.1039415863879,1.42889927219073,"E",-2178765.5385,2715889.68549999,"Yes","Attaining","Attaining",NA,"12",14,1.0152349953652,9.35702430383774,0.0987083569416349,2.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW",0
"2","11003","05007MIX","11003 2005","Three Rivers at Hebo Bridge","MWCF",0.87,"Moderately disturbed",2005,0,"",9,1,3163.34244,2.40255490071439,0.0825832912882503,3.33965015761368,0.433992801212217,123.8612723,45.22924883,6,0.845543104594842,"R",-2155208.1663,2789423.22569999,"Yes","Attaining","Attaining","Potential Concern","9",8,0.77466588484141,4.95204059846906,0.22533411515859,4.04795940153094,"Group 2",11,"Fair","Attaining","NEW","NEW","NEW",0
"3","11850","99018CSR","11850 1999","Rock Creek at RM 1.5 (Alsea)","MWCF",1.24,"Least disturbed",1999,1,"",4,0.698970004336019,2221.245,1.46126180630305,0.23134389985474,3.33885474625232,0.396984342217301,124.0911868,44.18723434,15.5884572681199,0.500179608697487,"R",-2206288.2023,2683672.85219999,"Yes",NA,"Attaining","Attaining","4",3,0.44053025593237,1.75759355853577,0.258439748403649,2.24240644146423,"Group 1",4,"Poor","Attaining","OLD","OLD","OLD",0
"4","11850","07001OPR","11850 2007","Rock Creek at RM 1.5 (Alsea)","MWCF",1.22,"Least disturbed",2007,1,"Yes",3,0.602059991327962,2221.245,1.46126180630305,0.23134389985474,3.33885474625232,0.396984342217301,124.0911868,44.18723434,15.5884572681199,0.500179608697487,"R",-2206288.2023,2683672.85219999,"Yes","Attaining","Attaining","Attaining","3",3,0.44053025593237,1.75759355853577,0.161529735395593,1.24240644146423,"Group 1",4,"Good","Attaining","OLD","NEW","NEW",0
"5","11853","99061CSR","11853 1999","Peak Creek at RM 3.5 (Alsea)","MWCF",0.95,"Least disturbed",1999,0,"",8,0.954242509439325,1995.775,1.52753671731126,0.156396930916179,3.23628527744803,0.255191707715613,123.4856501,44.35598699,30.3150127824482,0.886077123792614,"E",-2154713.7284,2687789.24059999,"Yes",NA,"Attaining","Attaining","8",8,0.77466588484141,4.95204059846906,0.179576624597915,3.04795940153094,"Group 2",11,"Good","Attaining","OLD","OLD","OLD",0
"6","12095","07004OPR","12095 2007","EF Winchuck River U/S Wheeler Cr Rd.","WCCP",1.09,"Least disturbed",2007,0,"Yes",3,0.602059991327962,2333.42919,1.97596706243605,0.0974679434480896,3.37712404234646,0.27631405687831,124.0910259,42.04865177,15.3622914957372,1.47062890563334,"E",-2275848.1508,2455183.47659999,"Yes","Attaining","Attaining",NA,"3",8,0.77466588484141,4.95204059846906,-0.172605893513448,-1.95204059846906,"Group 2",11,"Good","Attaining","NEW","NEW","NEW",0
"7","12134","07005OPR","12134 2007","Harvey Creek at RM 0.5","MWCF",0.84,"Most disturbed",2007,0,"Yes",22,1.36172783601759,1987.50321,1.45749630817472,0.0806845710157772,3.29292029960001,0.0719413286168421,123.9448842,43.69152898,4,1.21705472090523,"E",-2211155.2453,2627372.34639999,"Yes","Impaired","Impaired",NA,"22",14,1.0152349953652,9.35702430383774,0.346492840652391,12.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW",1
"8","12278","07007OPR","12278 2007","Fall Creek at RM 0.7 (Wilson)","MWCF",1.01,"Least disturbed",2007,0,"Yes",2,0.477121254719662,3001.27645,1.48193225949802,0.253495562091331,3.53681086599154,0.460147986249108,123.5882091,45.49426462,20.8086520466848,0.476033818061323,"R",-2126265.4572,2811502.88989999,"Yes","Attaining","Attaining",NA,"2",3,0.44053025593237,1.75759355853577,0.0365909987872928,0.242406441464229,"Group 1",4,"Good","Attaining","NEW","NEW","NEW",0
"9","12521","07009OPR","12521 2007","Trib to Bernhardt Creek at RM 3.0","MWCF",1.03,"Least disturbed",2007,0,"Yes",7,0.903089986991944,2221.48,0.741206768875058,0.243166609549913,3.33264041038746,0.102679835955122,123.9711539,43.96302222,16.4012194668567,1.32332926362445,"E",-2204387.6041,2656967.35039999,"Yes","Attaining","Attaining",NA,"7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-2.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW",0
"10","13121","09065DFW","13121 2009","Hamilton Creek at River Mile 1.7","MWCF",1.25,"Enriched",2009,0,"Yes",8,0.954242509439325,3174.661,1.52040033412468,0.198519520450761,3.56667313760612,0.355409611081639,123.5621458,45.97108406,28.3019433961698,1.05882363874542,"E",-2109166.7756,2861669.91759999,"Yes","Potential Concern","Potential Concern","Attaining","8",8,0.77466588484141,4.95204059846906,0.179576624597915,3.04795940153094,"Group 2",11,"Good","Potential Concern","NEW","NEW","NEW",0
